epoch,train_loss,val_loss,val_acc
1,2.865259,2.551168,0.000000
2,1.774586,0.848134,0.249762
3,0.524448,0.466328,0.552925
4,0.319941,0.385808,0.624400
5,0.241363,0.334843,0.671312
6,0.198751,0.328683,0.684638
7,0.166069,0.330241,0.684462
8,0.137987,0.340692,0.690738
9,0.117055,0.364568,0.676200
10,0.094633,0.348418,0.693788
11,0.079257,0.371621,0.692837
12,0.067183,0.400843,0.687512
13,0.057075,0.404764,0.692013
14,0.021981,0.378596,0.721350
15,0.013024,0.389956,0.722150
16,0.009546,0.403086,0.721912
17,0.007096,0.418369,0.722163
18,0.005305,0.430330,0.722237
19,0.003872,0.445985,0.722250
20,0.002898,0.454886,0.721487
21,0.002348,0.470260,0.722113
22,0.001794,0.479750,0.721237
test_acc,0.722400
