epoch,train_loss,val_seq_acc,val_char_acc
1,2.366366,0.000000,0.115098
2,2.274869,0.000000,0.115841
3,2.233742,0.000000,0.128439
4,2.210609,0.000000,0.129820
5,2.205370,0.000000,0.130280
6,2.200946,0.000000,0.129007
7,2.200936,0.000000,0.130586
8,2.196478,0.000000,0.133064
9,2.193753,0.000000,0.133764
10,2.195219,0.000000,0.133139
11,2.186565,0.000000,0.142670
12,2.177559,0.000000,0.146489
13,2.161759,0.000000,0.160621
14,2.139301,0.000000,0.170195
15,2.110581,0.000000,0.190654
16,2.067702,0.000000,0.213582
17,2.016529,0.000050,0.241827
18,1.962014,0.000100,0.264679
19,1.900297,0.000237,0.292543
20,1.809271,0.000825,0.346116
21,1.674502,0.004100,0.408920
22,1.493373,0.014613,0.488850
23,1.324423,0.037450,0.557125
24,1.153334,0.085825,0.627493
25,1.026379,0.133775,0.673443
26,0.920718,0.182475,0.711034
27,0.840919,0.211100,0.727209
28,0.770063,0.264600,0.755114
29,0.710826,0.305100,0.776945
30,0.653548,0.319113,0.782532
31,0.612292,0.369937,0.803770
32,0.576068,0.379550,0.807475
33,0.537428,0.399300,0.818304
34,0.507496,0.438437,0.830145
35,0.475312,0.484187,0.846139
36,0.453265,0.476438,0.844804
37,0.429452,0.500000,0.852838
38,0.409974,0.519525,0.859446
39,0.390140,0.520900,0.862145
40,0.382744,0.534887,0.864430
41,0.362405,0.551225,0.871230
42,0.351130,0.560925,0.873402
43,0.339890,0.551863,0.872655
44,0.330244,0.562262,0.875188
45,0.324301,0.576675,0.880077
46,0.311633,0.572438,0.876416
47,0.302208,0.567963,0.876516
48,0.297519,0.581525,0.880852
49,0.296811,0.611750,0.890155
50,0.279826,0.605100,0.887713
51,0.268672,0.576137,0.880995
52,0.268742,0.598675,0.886257
53,0.267269,0.601463,0.888570
54,0.252029,0.586738,0.882277
55,0.251488,0.603750,0.888084
56,0.242472,0.623663,0.893357
57,0.235201,0.624700,0.893850
58,0.226315,0.624112,0.894580
59,0.230134,0.636763,0.897909
60,0.212935,0.632125,0.897359
61,0.211926,0.633375,0.896902
62,0.207563,0.612187,0.890912
63,0.198519,0.631425,0.895816
64,0.202736,0.641800,0.897768
65,0.195717,0.637912,0.898614
66,0.192371,0.641925,0.898611
67,0.184344,0.636938,0.898409
68,0.178553,0.617263,0.891700
69,0.176658,0.654537,0.901886
70,0.166674,0.642525,0.899029
71,0.165687,0.656750,0.902768
72,0.166200,0.639112,0.898495
73,0.161771,0.653262,0.901804
74,0.162186,0.625513,0.894368
75,0.154539,0.656250,0.902887
76,0.151934,0.662613,0.904061
77,0.145453,0.648425,0.900039
78,0.143816,0.641600,0.898973
79,0.137093,0.657600,0.903075
80,0.133817,0.664338,0.904643
81,0.131249,0.645525,0.898614
82,0.131844,0.660813,0.903793
83,0.129238,0.655050,0.901584
84,0.123395,0.663412,0.904455
85,0.121595,0.656575,0.901730
86,0.121325,0.663987,0.904302
87,0.115885,0.665100,0.904214
88,0.116656,0.664975,0.904682
89,0.113348,0.647650,0.898318
90,0.110970,0.669288,0.904989
91,0.106076,0.662013,0.902587
92,0.109423,0.663350,0.903259
93,0.105621,0.665100,0.903105
94,0.100985,0.659850,0.902436
95,0.101690,0.667013,0.903841
96,0.096614,0.666913,0.904186
97,0.097926,0.661475,0.902616
98,0.094432,0.657400,0.900573
99,0.094282,0.661663,0.902932
100,0.092552,0.652613,0.900991
test_acc,0.668275,0.905503
