epoch,train_loss,val_acc
1,3.075072,0.000000
2,1.657165,0.207662
3,0.564267,0.511175
4,0.517756,0.481212
5,0.558998,0.463575
6,0.543351,0.440113
7,0.500032,0.520487
8,0.512062,0.442325
9,0.498672,0.519250
10,0.478369,0.529162
11,0.500995,0.500275
12,0.477992,0.540950
13,0.458357,0.518463
14,0.475378,0.502188
15,0.527633,0.496300
16,0.368303,0.602213
17,0.317772,0.611263
18,0.293689,0.630862
19,0.276502,0.633138
20,0.264125,0.636625
21,0.257485,0.643750
22,0.243602,0.645062
23,0.235682,0.648913
24,0.226275,0.650275
25,0.218114,0.652338
26,0.216301,0.640962
27,0.218743,0.643537
28,0.211208,0.648425
test_acc,0.650575
